COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG3942	M	Cell_wall_membrane_envelope_biogenesis	Surface antigen
COG3944	M	Cell_wall_membrane_envelope_biogenesis	Capsular polysaccharide biosynthesis protein
COG3955	M	Cell_wall_membrane_envelope_biogenesis	"Uncharacterized protein, DUF1919 family"
COG3966	M	Cell_wall_membrane_envelope_biogenesis	"Poly D-alanine transfer protein DltD, involved inesterification of teichoic acids"
COG3980	M	Cell_wall_membrane_envelope_biogenesis	"Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase"
COG4092	M	Cell_wall_membrane_envelope_biogenesis	Predicted glycosyltransferase involved in capsule biosynthesis
COG4105	M	Cell_wall_membrane_envelope_biogenesis	"Outer membrane protein assembly factor BamD, BamD/ComL family"
COG4238	M	Cell_wall_membrane_envelope_biogenesis	Outer membrane murein-binding lipoprotein Lpp
COG4282	M	Cell_wall_membrane_envelope_biogenesis	Cell wall assembly regulator SMI1
COG4305	M	Cell_wall_membrane_envelope_biogenesis	"Peptidoglycan-binding domain, expansin"
COG4421	M	Cell_wall_membrane_envelope_biogenesis	Capsular polysaccharide biosynthesis protein
COG4424	M	Cell_wall_membrane_envelope_biogenesis	LPS sulfotransferase NodH
COG4520	M	Cell_wall_membrane_envelope_biogenesis	Surface antigen
COG4571	M	Cell_wall_membrane_envelope_biogenesis	Outer membrane protease
COG4588	M	Cell_wall_membrane_envelope_biogenesis	"Accessory colonization factor AcfC, contains ABC-type periplasmic domain"
COG4591	M	Cell_wall_membrane_envelope_biogenesis	"ABC-type transport system, involved in lipoprotein release, permease component"
COG4775	M	Cell_wall_membrane_envelope_biogenesis	Outer membrane protein assembly factor BamA
COG4785	M	Cell_wall_membrane_envelope_biogenesis	"Lipoprotein NlpI, contains TPR repeats"
COG4952	M	Cell_wall_membrane_envelope_biogenesis	L-rhamnose isomerase
COG4953	M	Cell_wall_membrane_envelope_biogenesis	Membrane carboxypeptidase/penicillin-binding protein PbpC
COG5009	M	Cell_wall_membrane_envelope_biogenesis	Membrane carboxypeptidase/penicillin-binding protein
COG5337	M	Cell_wall_membrane_envelope_biogenesis	Spore coat protein CotH
COG5520	M	Cell_wall_membrane_envelope_biogenesis	O-Glycosyl hydrolase
COG5577	M	Cell_wall_membrane_envelope_biogenesis	Spore coat protein CotF
COG5597	M	Cell_wall_membrane_envelope_biogenesis	Alpha-N-acetylglucosamine transferase
COG5622	M	Cell_wall_membrane_envelope_biogenesis	Protein required for attachment to host cells
COG5632	M	Cell_wall_membrane_envelope_biogenesis	N-acetylmuramoyl-L-alanine amidase CwlA
COG0084	N	Cell_motility	Tat protein secretion system quality control protein TatD (DNase activity)
COG1192	N	Cell_motility	Cellulose biosynthesis protein BcsQ
COG1215	N	Cell_motility	"Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase"
COG1256	N	Cell_motility	Flagellar hook-associated protein FlgK
COG1261	N	Cell_motility	Flagella basal body P-ring formation protein FlgA
COG1291	N	Cell_motility	Flagellar motor component MotA
COG1298	N	Cell_motility	"Flagellar biosynthesis pathway, component FlhA"
COG1338	N	Cell_motility	Flagellar biosynthetic protein FliP
COG1344	N	Cell_motility	Flagellin and related hook-associated protein FlgL
COG1345	N	Cell_motility	Flagellar capping protein FliD
COG1360	N	Cell_motility	Flagellar motor protein MotB
COG1377	N	Cell_motility	Flagellar biosynthesis protein FlhB
COG1406	N	Cell_motility	"Chemotaxis protein CheX, a CheY~P-specific phosphatase"
COG1419	N	Cell_motility	Flagellar biosynthesis GTPase FlhF
COG1536	N	Cell_motility	Flagellar motor switch protein FliG
COG1558	N	Cell_motility	Flagellar basal body rod protein FlgC
COG1580	N	Cell_motility	Flagellar basal body-associated protein FliL
COG1677	N	Cell_motility	Flagellar hook-basal body complex protein FliE
COG1681	N	Cell_motility	Archaellin (archaeal flagellin)
COG1684	N	Cell_motility	Flagellar biosynthesis protein FliR
COG1699	N	Cell_motility	Flagellar assembly factor FliW
COG1706	N	Cell_motility	Flagellar basal body P-ring protein FlgI
COG1749	N	Cell_motility	Flagellar hook protein FlgE
COG1815	N	Cell_motility	Flagellar basal body rod protein FlgB
COG1843	N	Cell_motility	Flagellar hook assembly protein FlgD
COG1868	N	Cell_motility	Flagellar motor switch protein FliM
COG1955	N	Cell_motility	"Archaellum biogenesis protein FlaJ, TadC family"
COG1987	N	Cell_motility	Flagellar biosynthesis protein FliQ
COG2063	N	Cell_motility	Flagellar basal body L-ring protein FlgH
COG2874	N	Cell_motility	"Archaellum biogenesis protein FlaH, an ATPase"
COG2882	N	Cell_motility	Flagellar biosynthesis chaperone FliJ
COG3144	N	Cell_motility	Flagellar hook-length control protein FliK
COG3190	N	Cell_motility	Flagellar biogenesis protein FliO
COG3225	N	Cell_motility	"ABC-type uncharacterized transport system involved in gliding motility, auxiliary component"
COG3334	N	Cell_motility	"Flagellar motility protein MotE, a chaperone for MotC folding"
COG3351	N	Cell_motility	Archaellum component FlaD/FlaE
COG3352	N	Cell_motility	Archaellum component FlaC
COG3353	N	Cell_motility	"Archaellum component FlaF, FlaF/FlaG flagellin family"
COG3354	N	Cell_motility	"Archaellum component FlaG, FlaF/FlaG flagellin family"
COG3430	N	Cell_motility	"Archaeal flagellin (archaellin), FlaG/FlaF family"
COG3539	N	Cell_motility	Pilin (type 1 fimbria component protein)
COG3951	N	Cell_motility	Rod binding protein domain
COG4786	N	Cell_motility	Flagellar basal body rod protein FlgG
COG4787	N	Cell_motility	Flagellar basal body rod protein FlgF
COG5442	N	Cell_motility	Flagellar biosynthesis regulator FlaF
COG5443	N	Cell_motility	Flagellar biosynthesis regulator FlbT
COG5581	N	Cell_motility	"c-di-GMP-binding flagellar brake protein YcgR, contains PilZNR and PilZ domains"
COG5653	N	Cell_motility	"Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family"
COG0068	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase maturation factor HypF (carbamoyltransferase)
COG0071	O	Posttranslational_modification_protein_turnover_chaperones	"Molecular chaperone IbpA, HSP20 family"
COG0170	O	Posttranslational_modification_protein_turnover_chaperones	Dolichol kinase
COG0225	O	Posttranslational_modification_protein_turnover_chaperones	Peptide methionine sulfoxide reductase MsrA
COG0229	O	Posttranslational_modification_protein_turnover_chaperones	Peptide methionine sulfoxide reductase MsrB
COG0234	O	Posttranslational_modification_protein_turnover_chaperones	Co-chaperonin GroES (HSP10)
COG0265	O	Posttranslational_modification_protein_turnover_chaperones	"Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain"
COG0278	O	Posttranslational_modification_protein_turnover_chaperones	Glutaredoxin-related protein
COG0298	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase maturation factor
COG0309	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase maturation factor
COG0316	O	Posttranslational_modification_protein_turnover_chaperones	Fe-S cluster assembly iron-binding protein IscA
COG0326	O	Posttranslational_modification_protein_turnover_chaperones	"Molecular chaperone, HSP90 family"
COG0330	O	Posttranslational_modification_protein_turnover_chaperones	"Regulator of protease activity HflC, stomatin/prohibitin superfamily"
COG0354	O	Posttranslational_modification_protein_turnover_chaperones	"Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification"
COG0378	O	Posttranslational_modification_protein_turnover_chaperones	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase
COG0396	O	Posttranslational_modification_protein_turnover_chaperones	Fe-S cluster assembly ATPase SufC
COG0409	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase maturation factor
COG0425	O	Posttranslational_modification_protein_turnover_chaperones	TusA-related sulfurtransferase
COG0443	O	Posttranslational_modification_protein_turnover_chaperones	Molecular chaperone DnaK (HSP70)
COG0459	O	Posttranslational_modification_protein_turnover_chaperones	Chaperonin GroEL (HSP60 family)
COG0465	O	Posttranslational_modification_protein_turnover_chaperones	ATP-dependent Zn proteases
COG0466	O	Posttranslational_modification_protein_turnover_chaperones	"ATP-dependent Lon protease, bacterial type"
COG0484	O	Posttranslational_modification_protein_turnover_chaperones	DnaJ-class molecular chaperone with C-terminal Zn finger domain
COG0492	O	Posttranslational_modification_protein_turnover_chaperones	Thioredoxin reductase
COG0501	O	Posttranslational_modification_protein_turnover_chaperones	Zn-dependent protease with chaperone function
COG0526	O	Posttranslational_modification_protein_turnover_chaperones	Thiol-disulfide isomerase or thioredoxin
COG0542	O	Posttranslational_modification_protein_turnover_chaperones	ATP-dependent Clp protease ATP-binding subunit ClpA
COG0544	O	Posttranslational_modification_protein_turnover_chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)
COG0545	O	Posttranslational_modification_protein_turnover_chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase
COG0576	O	Posttranslational_modification_protein_turnover_chaperones	Molecular chaperone GrpE (heat shock protein)
COG0606	O	Posttranslational_modification_protein_turnover_chaperones	Predicted ATPase with chaperone activity
COG0616	O	Posttranslational_modification_protein_turnover_chaperones	"Periplasmic serine protease, ClpP class"
COG0625	O	Posttranslational_modification_protein_turnover_chaperones	Glutathione S-transferase
COG0638	O	Posttranslational_modification_protein_turnover_chaperones	"20S proteasome, alpha and beta subunits"
COG0641	O	Posttranslational_modification_protein_turnover_chaperones	"Sulfatase maturation enzyme AslB, radical SAM superfamily"
COG0652	O	Posttranslational_modification_protein_turnover_chaperones	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
COG0678	O	Posttranslational_modification_protein_turnover_chaperones	Peroxiredoxin
COG0691	O	Posttranslational_modification_protein_turnover_chaperones	tmRNA-binding protein
COG0694	O	Posttranslational_modification_protein_turnover_chaperones	"Fe-S cluster biogenesis protein NfuA, 4Fe-4S-binding domain"
COG0695	O	Posttranslational_modification_protein_turnover_chaperones	Glutaredoxin
COG0705	O	Posttranslational_modification_protein_turnover_chaperones	"Membrane associated serine protease, rhomboid family"
COG0719	O	Posttranslational_modification_protein_turnover_chaperones	Fe-S cluster assembly scaffold protein SufB
COG0740	O	Posttranslational_modification_protein_turnover_chaperones	"ATP-dependent protease ClpP, protease subunit"
COG0755	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type transport system involved in cytochrome c biogenesis, permease component"
COG0760	O	Posttranslational_modification_protein_turnover_chaperones	Parvulin-like peptidyl-prolyl isomerase
COG0793	O	Posttranslational_modification_protein_turnover_chaperones	"C-terminal processing protease CtpA/Prc, contains a PDZ domain"
COG0822	O	Posttranslational_modification_protein_turnover_chaperones	NifU homolog involved in Fe-S cluster formation
COG0826	O	Posttranslational_modification_protein_turnover_chaperones	"Collagenase-like protease, PrtC family"
COG0829	O	Posttranslational_modification_protein_turnover_chaperones	Urease accessory protein UreH
COG0830	O	Posttranslational_modification_protein_turnover_chaperones	Urease accessory protein UreF
COG0846	O	Posttranslational_modification_protein_turnover_chaperones	"NAD-dependent protein deacetylase, SIR2 family"
COG1025	O	Posttranslational_modification_protein_turnover_chaperones	"Secreted/periplasmic Zn-dependent peptidases, insulinase-like"
COG1026	O	Posttranslational_modification_protein_turnover_chaperones	"Zn-dependent peptidase, M16 (insulinase) family"
COG1030	O	Posttranslational_modification_protein_turnover_chaperones	Membrane-bound serine protease (ClpP class)
COG1047	O	Posttranslational_modification_protein_turnover_chaperones	FKBP-type peptidyl-prolyl cis-trans isomerase 2
COG1066	O	Posttranslational_modification_protein_turnover_chaperones	Predicted ATP-dependent serine protease
COG1067	O	Posttranslational_modification_protein_turnover_chaperones	Predicted ATP-dependent protease
COG1076	O	Posttranslational_modification_protein_turnover_chaperones	DnaJ-domain-containing proteins 1
COG1123	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain"
COG1180	O	Posttranslational_modification_protein_turnover_chaperones	Pyruvate-formate lyase-activating enzyme
COG1219	O	Posttranslational_modification_protein_turnover_chaperones	"ATP-dependent protease Clp, ATPase subunit"
COG1220	O	Posttranslational_modification_protein_turnover_chaperones	"ATP-dependent protease HslVU (ClpYQ), ATPase subunit"
COG1222	O	Posttranslational_modification_protein_turnover_chaperones	ATP-dependent 26S proteasome regulatory subunit
COG1225	O	Posttranslational_modification_protein_turnover_chaperones	Peroxiredoxin
COG1262	O	Posttranslational_modification_protein_turnover_chaperones	"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain"
COG1266	O	Posttranslational_modification_protein_turnover_chaperones	"Membrane protease YdiL, CAAX protease family"
COG1277	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type transport system involved in multi-copper enzyme maturation, permease component"
COG1281	O	Posttranslational_modification_protein_turnover_chaperones	"Redox-regulated molecular chaperone, HSP33 family"
COG1287	O	Posttranslational_modification_protein_turnover_chaperones	"Asparagine N-glycosylation enzyme, membrane subunit Stt3"
COG1305	O	Posttranslational_modification_protein_turnover_chaperones	"Transglutaminase-like enzyme, putative cysteine protease"
COG1310	O	Posttranslational_modification_protein_turnover_chaperones	"Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN domain metalloenzyme (JAMM) motif"
COG1382	O	Posttranslational_modification_protein_turnover_chaperones	"Prefoldin, chaperonin cofactor"
COG1391	O	Posttranslational_modification_protein_turnover_chaperones	Glutamine synthetase adenylyltransferase
COG1397	O	Posttranslational_modification_protein_turnover_chaperones	ADP-ribosylglycohydrolase
COG1404	O	Posttranslational_modification_protein_turnover_chaperones	"Serine protease, subtilisin family"
COG1433	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted Fe-Mo cluster-binding protein, NifX family"
COG1495	O	Posttranslational_modification_protein_turnover_chaperones	Disulfide bond formation protein DsbB
COG1572	O	Posttranslational_modification_protein_turnover_chaperones	"Serine protease, subtilase family"
COG1585	O	Posttranslational_modification_protein_turnover_chaperones	Membrane protein implicated in regulation of membrane protease activity
COG1651	O	Posttranslational_modification_protein_turnover_chaperones	Protein-disulfide isomerase
COG1703	O	Posttranslational_modification_protein_turnover_chaperones	Putative periplasmic protein kinase ArgK or related GTPase of G3E family
COG1730	O	Posttranslational_modification_protein_turnover_chaperones	Prefoldin subunit 5
COG1858	O	Posttranslational_modification_protein_turnover_chaperones	Cytochrome c peroxidase
COG1928	O	Posttranslational_modification_protein_turnover_chaperones	Dolichyl-phosphate-mannose--protein O-mannosyl transferase
COG1973	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase maturation factor HypE
COG1975	O	Posttranslational_modification_protein_turnover_chaperones	"Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family"
COG1994	O	Posttranslational_modification_protein_turnover_chaperones	Zn-dependent protease (includes SpoIVFB)
COG1999	O	Posttranslational_modification_protein_turnover_chaperones	"Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family"
COG2020	O	Posttranslational_modification_protein_turnover_chaperones	Protein-S-isoprenylcysteine O-methyltransferase Ste14
COG2039	O	Posttranslational_modification_protein_turnover_chaperones	Pyrrolidone-carboxylate peptidase (N-terminal pyroglutamyl peptidase)
COG2077	O	Posttranslational_modification_protein_turnover_chaperones	Peroxiredoxin
COG2127	O	Posttranslational_modification_protein_turnover_chaperones	ATP-dependent Clp protease adapter protein ClpS
COG2135	O	Posttranslational_modification_protein_turnover_chaperones	Putative SOS response-associated peptidase YedK
COG2137	O	Posttranslational_modification_protein_turnover_chaperones	"SOS response regulatory protein OraA/RecX, interacts with RecA"
COG2143	O	Posttranslational_modification_protein_turnover_chaperones	Thioredoxin-related protein
COG2151	O	Posttranslational_modification_protein_turnover_chaperones	Metal-sulfur cluster biosynthetic enzyme
COG2166	O	Posttranslational_modification_protein_turnover_chaperones	"Sulfur transfer protein SufE, Fe-S center assembly"
COG2168	O	Posttranslational_modification_protein_turnover_chaperones	"Sulfur transfer complex TusBCD TusB component, DsrH family"
COG2170	O	Posttranslational_modification_protein_turnover_chaperones	"Gamma-glutamyl:cysteine ligase YbdK, ATP-grasp superfamily"
COG2234	O	Posttranslational_modification_protein_turnover_chaperones	"Zn-dependent amino- or carboxypeptidase, M28 family"
COG2360	O	Posttranslational_modification_protein_turnover_chaperones	Leu/Phe-tRNA-protein transferase
COG2370	O	Posttranslational_modification_protein_turnover_chaperones	Hydrogenase/urease accessory protein HupE
COG2371	O	Posttranslational_modification_protein_turnover_chaperones	Urease accessory protein UreE
COG2386	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type transport system involved in cytochrome c biogenesis, permease component"
COG2518	O	Posttranslational_modification_protein_turnover_chaperones	Protein-L-isoaspartate O-methyltransferase
COG2738	O	Posttranslational_modification_protein_turnover_chaperones	Zn-dependent membrane protease YugP
COG2761	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted dithiol-disulfide isomerase, DsbA family"
COG2846	O	Posttranslational_modification_protein_turnover_chaperones	"Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains"
COG2935	O	Posttranslational_modification_protein_turnover_chaperones	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase
COG2938	O	Posttranslational_modification_protein_turnover_chaperones	"Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module"
COG2975	O	Posttranslational_modification_protein_turnover_chaperones	Fe-S-cluster formation regulator IscX/YfhJ
COG2994	O	Posttranslational_modification_protein_turnover_chaperones	ACP:hemolysin acyltransferase (hemolysin-activating protein)
COG2999	O	Posttranslational_modification_protein_turnover_chaperones	Glutaredoxin 2
COG3062	O	Posttranslational_modification_protein_turnover_chaperones	Cytoplasmic chaperone NapD for the signal peptide of periplasmic nitrate reductase NapAB
COG3118	O	Posttranslational_modification_protein_turnover_chaperones	"Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains"
COG3187	O	Posttranslational_modification_protein_turnover_chaperones	Heat shock protein HslJ
COG3227	O	Posttranslational_modification_protein_turnover_chaperones	Zn-dependent metalloprotease
COG3236	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted NAD-dependent protein-ADP-ribosyltransferase YbiA, DUF1768 family"
COG3346	O	Posttranslational_modification_protein_turnover_chaperones	Cytochrome oxidase assembly protein ShyY1
COG3381	O	Posttranslational_modification_protein_turnover_chaperones	Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation
COG3389	O	Posttranslational_modification_protein_turnover_chaperones	"Presenilin-like membrane protease, A22 family"
COG3484	O	Posttranslational_modification_protein_turnover_chaperones	Predicted proteasome-type protease
COG3531	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted protein-disulfide isomerase , contains CxxC motif"
COG3555	O	Posttranslational_modification_protein_turnover_chaperones	"Aspartyl/asparaginyl beta-hydroxylase, cupin superfamily"
COG3590	O	Posttranslational_modification_protein_turnover_chaperones	Predicted metalloendopeptidase
COG3640	O	Posttranslational_modification_protein_turnover_chaperones	CO dehydrogenase nickel-insertion accessory protein CooC1
COG3672	O	Posttranslational_modification_protein_turnover_chaperones	Predicted transglutaminase-like cysteine proteinase
COG3678	O	Posttranslational_modification_protein_turnover_chaperones	Periplasmic protein refolding chaperone Spy/CpxP family
COG3785	O	Posttranslational_modification_protein_turnover_chaperones	Heat shock protein HspQ
COG3823	O	Posttranslational_modification_protein_turnover_chaperones	Glutamine cyclotransferase
COG3824	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted Zn-dependent protease, minimal metalloprotease (MMP)-like domain"
COG3869	O	Posttranslational_modification_protein_turnover_chaperones	Protein-arginine kinase
COG3880	O	Posttranslational_modification_protein_turnover_chaperones	Protein-arginine kinase activator protein McsA
COG3914	O	Posttranslational_modification_protein_turnover_chaperones	"Predicted O-linked N-acetylglucosamine transferase, SPINDLY family"
COG4133	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type transport system involved in cytochrome c biogenesis, ATPase component"
COG4232	O	Posttranslational_modification_protein_turnover_chaperones	Thiol:disulfide interchange protein
COG4260	O	Posttranslational_modification_protein_turnover_chaperones	"Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain"
COG4346	O	Posttranslational_modification_protein_turnover_chaperones	Predicted membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase
COG4412	O	Posttranslational_modification_protein_turnover_chaperones	"Bacillopeptidase F, M6 metalloprotease family"
COG4545	O	Posttranslational_modification_protein_turnover_chaperones	Glutaredoxin-related protein
COG4574	O	Posttranslational_modification_protein_turnover_chaperones	Serine protease inhibitor ecotin
COG4826	O	Posttranslational_modification_protein_turnover_chaperones	Serine protease inhibitor
COG4837	O	Posttranslational_modification_protein_turnover_chaperones	Disulfide oxidoreductase YuzD
COG4870	O	Posttranslational_modification_protein_turnover_chaperones	"Cysteine protease, C1A family"
COG4930	O	Posttranslational_modification_protein_turnover_chaperones	Predicted ATP-dependent Lon-type protease
COG4934	O	Posttranslational_modification_protein_turnover_chaperones	"Serine protease, subtilase family"
COG4935	O	Posttranslational_modification_protein_turnover_chaperones	Regulatory P domain of the subtilisin-like proprotein convertases and other proteases
COG5044	O	Posttranslational_modification_protein_turnover_chaperones	RAB proteins geranylgeranyltransferase component A (RAB escort protein)
COG5078	O	Posttranslational_modification_protein_turnover_chaperones	Ubiquitin-protein ligase
COG5160	O	Posttranslational_modification_protein_turnover_chaperones	"Protease, Ulp1 family"
COG5183	O	Posttranslational_modification_protein_turnover_chaperones	E3 ubiquitin-protein ligase DOA10
COG5206	O	Posttranslational_modification_protein_turnover_chaperones	"Glycosylphosphatidylinositol transamidase (GPIT), subunit GPI8"
COG5265	O	Posttranslational_modification_protein_turnover_chaperones	"ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components"
COG5272	O	Posttranslational_modification_protein_turnover_chaperones	Ubiquitin
COG5380	O	Posttranslational_modification_protein_turnover_chaperones	Lipase chaperone LimK
COG5387	O	Posttranslational_modification_protein_turnover_chaperones	Chaperone required for the assembly of the mitochondrial F1-ATPase
COG5405	O	Posttranslational_modification_protein_turnover_chaperones	"ATP-dependent protease HslVU (ClpYQ), peptidase subunit"
COG5494	O	Posttranslational_modification_protein_turnover_chaperones	Predicted thioredoxin/glutaredoxin
COG5533	O	Posttranslational_modification_protein_turnover_chaperones	Ubiquitin C-terminal hydrolase
COG5549	O	Posttranslational_modification_protein_turnover_chaperones	Predicted Zn-dependent protease
COG5550	O	Posttranslational_modification_protein_turnover_chaperones	Predicted aspartyl protease
COG5580	O	Posttranslational_modification_protein_turnover_chaperones	Activator of HSP90 ATPase
COG5640	O	Posttranslational_modification_protein_turnover_chaperones	Secreted trypsin-like serine protease
COG5661	O	Posttranslational_modification_protein_turnover_chaperones	Predicted secreted Zn-dependent protease
COG5664	O	Posttranslational_modification_protein_turnover_chaperones	Predicted secreted Zn-dependent protease
COG0003	P	Inorganic_ion_transport_and_metabolism	"Anion-transporting ATPase, ArsA/GET3 family"
COG0004	P	Inorganic_ion_transport_and_metabolism	Ammonia channel protein AmtB
COG0025	P	Inorganic_ion_transport_and_metabolism	NhaP-type Na+/H+ or K+/H+ antiporter
COG0038	P	Inorganic_ion_transport_and_metabolism	H+/Cl- antiporter ClcA
COG0053	P	Inorganic_ion_transport_and_metabolism	Divalent metal cation (Fe/Co/Zn/Cd) transporter
COG0155	P	Inorganic_ion_transport_and_metabolism	"Sulfite reductase, beta subunit (hemoprotein)"
COG0168	P	Inorganic_ion_transport_and_metabolism	"Trk-type K+ transport system, membrane component"
COG0226	P	Inorganic_ion_transport_and_metabolism	"ABC-type phosphate transport system, periplasmic component"
COG0288	P	Inorganic_ion_transport_and_metabolism	Carbonic anhydrase
COG0306	P	Inorganic_ion_transport_and_metabolism	Phosphate/sulfate permease
COG0310	P	Inorganic_ion_transport_and_metabolism	"ABC-type Co2+ transport system, permease component"
COG0369	P	Inorganic_ion_transport_and_metabolism	"Sulfite reductase, alpha subunit (flavoprotein)"
COG0370	P	Inorganic_ion_transport_and_metabolism	Fe2+ transport system protein B
COG0376	P	Inorganic_ion_transport_and_metabolism	Catalase (peroxidase I)
COG0387	P	Inorganic_ion_transport_and_metabolism	Ca2+/H+ antiporter
COG0390	P	Inorganic_ion_transport_and_metabolism	"ABC-type iron transport system FetAB, permease component"
COG0428	P	Inorganic_ion_transport_and_metabolism	Zinc transporter ZupT
COG0474	P	Inorganic_ion_transport_and_metabolism	Magnesium-transporting ATPase (P-type)
COG0475	P	Inorganic_ion_transport_and_metabolism	"Kef-type K+ transport system, membrane component KefB"
COG0490	P	Inorganic_ion_transport_and_metabolism	"K+/H+ antiporter YhaU, regulatory subunit KhtT"
COG0529	P	Inorganic_ion_transport_and_metabolism	Adenylylsulfate kinase or related kinase
COG0530	P	Inorganic_ion_transport_and_metabolism	Ca2+/Na+ antiporter
COG0555	P	Inorganic_ion_transport_and_metabolism	"ABC-type sulfate transport system, permease component"
COG0569	P	Inorganic_ion_transport_and_metabolism	"Trk K+ transport system, NAD-binding component"
COG0573	P	Inorganic_ion_transport_and_metabolism	"ABC-type phosphate transport system, permease component"
COG0581	P	Inorganic_ion_transport_and_metabolism	"ABC-type phosphate transport system, permease component"
COG0598	P	Inorganic_ion_transport_and_metabolism	Mg2+ and Co2+ transporter CorA
COG0600	P	Inorganic_ion_transport_and_metabolism	"ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
COG0605	P	Inorganic_ion_transport_and_metabolism	Superoxide dismutase
COG0607	P	Inorganic_ion_transport_and_metabolism	Rhodanese-related sulfurtransferase
COG0609	P	Inorganic_ion_transport_and_metabolism	"ABC-type Fe3+-siderophore transport system, permease component"
COG0614	P	Inorganic_ion_transport_and_metabolism	"ABC-type Fe3+-hydroxamate transport system, periplasmic component"
COG0659	P	Inorganic_ion_transport_and_metabolism	"Sulfate permease or related transporter, MFS superfamily"
COG0672	P	Inorganic_ion_transport_and_metabolism	High-affinity Fe2+/Pb2+ permease
COG0704	P	Inorganic_ion_transport_and_metabolism	Phosphate uptake regulator
COG0715	P	Inorganic_ion_transport_and_metabolism	"ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
COG0725	P	Inorganic_ion_transport_and_metabolism	"ABC-type molybdate transport system, periplasmic component"
COG0735	P	Inorganic_ion_transport_and_metabolism	Fe2+ or Zn2+ uptake regulation protein
COG0748	P	Inorganic_ion_transport_and_metabolism	Putative heme iron utilization protein
COG0753	P	Inorganic_ion_transport_and_metabolism	Catalase
COG0798	P	Inorganic_ion_transport_and_metabolism	"Arsenite efflux pump ArsB, ACR3 family"
COG0803	P	Inorganic_ion_transport_and_metabolism	"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA"
COG0855	P	Inorganic_ion_transport_and_metabolism	Polyphosphate kinase
COG0861	P	Inorganic_ion_transport_and_metabolism	"Membrane protein TerC, possibly involved in tellurium resistance"
COG1006	P	Inorganic_ion_transport_and_metabolism	"Multisubunit Na+/H+ antiporter, MnhC subunit"
COG1055	P	Inorganic_ion_transport_and_metabolism	Na+/H+ antiporter NhaD or related arsenite permease
COG1108	P	Inorganic_ion_transport_and_metabolism	"ABC-type Mn2+/Zn2+ transport system, permease component"
COG1116	P	Inorganic_ion_transport_and_metabolism	"ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
COG1117	P	Inorganic_ion_transport_and_metabolism	"ABC-type phosphate transport system, ATPase component"
COG1118	P	Inorganic_ion_transport_and_metabolism	"ABC-type sulfate/molybdate transport systems, ATPase component"
COG1119	P	Inorganic_ion_transport_and_metabolism	"ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA"
COG1121	P	Inorganic_ion_transport_and_metabolism	"ABC-type Mn2+/Zn2+ transport system, ATPase component"
COG1178	P	Inorganic_ion_transport_and_metabolism	"ABC-type Fe3+ transport system, permease component"
